id		x		y		z		qx		qy		qz		qw					covariance(major diagonal)


1054	-7.9131	-11.9855	0.4282	-0.0165	0.0196	-0.9997	0.0063	23.9230	24.7857	0.7713	0.3500	0.3820	6.0507
1055	-9.0373	-12.0898	-0.3190	-0.0396	-0.0579	-0.9974	0.0188	23.7219	24.5656	0.7670	0.3449	0.3811	5.7698
1056	-9.0372	-11.9755	0.2603	0.0124	0.0373	-0.7013	0.7117	23.7219	24.5656	0.7670	0.3449	0.3811	5.7698
1057	-8.9853	-12.0326	-0.5434	-0.0426	0.0087	-0.0176	0.9989	23.5869	24.4838	0.7242	0.3106	0.3469	5.6092
1058	-7.9570	-11.9767	-0.2626	-0.0093	-0.0650	0.0011	0.9978	23.4463	24.3597	0.7080	0.2880	0.3313	5.3867
1059	-7.0264	-11.9709	-0.0067	-0.0205	0.0317	-0.0089	0.9992	23.4463	24.3597	0.7080	0.2880	0.3313	5.3867
1060	-6.9659	-11.9826	0.0321	0.0520	-0.0086	0.7018	0.7104	22.8533	23.8076	0.6455	0.2645	0.2882	4.8046
1061	-7.0081	-12.0208	0.0028	-0.0341	0.0129	-0.9990	0.0270	22.7990	23.7432	0.5556	0.2637	0.2315	4.7852
1062	-6.9145	-11.9900	-0.0974	-0.0282	-0.0254	0.6843	0.7282	22.6250	23.4361	0.5338	0.2492	0.2163	4.4752
1063	-6.9727	-12.0171	0.3266	0.0110	-0.0149	0.0262	0.9995	21.8893	22.7892	0.5302	0.2473	0.2150	4.4285
1064	-5.8623	-11.9417	-0.2139	0.0679	-0.0056	0.0057	0.9977	21.3599	22.4146	0.5234	0.2463	0.2143	4.4133
1065	-5.9943	-11.9882	-0.0993	-0.0600	0.0019	-0.7297	0.6812	21.3599	22.4146	0.5234	0.2463	0.2143	4.4133
1066	-5.9700	-12.9879	0.2088	-0.0064	0.0263	-0.6932	0.7202	21.3599	22.4146	0.5234	0.2463	0.2143	4.4133
1067	-5.9682	-12.9688	-0.1745	-0.0069	0.0207	0.6565	0.7540	21.1787	22.1481	0.5158	0.2389	0.2070	4.2666
1068	-6.0030	-12.0059	0.3841	0.0005	-0.0171	0.6448	0.7642	21.1475	22.0930	0.5150	0.2323	0.2064	4.2116
1069	-6.0399	-11.0132	0.0787	-0.0173	-0.0080	0.7010	0.7129	20.5440	21.4415	0.5064	0.2244	0.2026	4.0658
1070	-5.9797	-9.9456	-0.1082	0.0155	0.0495	0.7098	0.7025	20.1677	20.9086	0.4995	0.2223	0.2015	3.9943
1071	-6.0064	-9.0115	-0.0633	-0.0093	-0.0239	0.6989	0.7147	20.0602	20.8199	0.4897	0.2155	0.1981	3.9652
1072	-6.0096	-7.9729	0.4235	0.0171	0.0166	0.6864	0.7268	19.6737	20.3953	0.4888	0.2152	0.1958	3.9113
1073	-5.9684	-7.9976	0.0777	-0.0039	0.0471	0.0326	0.9983	19.6448	20.3658	0.4884	0.2151	0.1957	3.9093
1074	-5.9738	-8.0569	0.0827	-0.0134	-0.0225	-0.6773	0.7353	19.4861	20.1930	0.4864	0.2011	0.1928	3.6354
1075	-6.0957	-8.9299	-0.7755	0.0284	0.0092	-0.7290	0.6839	19.4102	20.0915	0.4819	0.1953	0.1913	3.4507
1076	-6.0035	-9.9916	0.0200	-0.0024	-0.0354	-0.6863	0.7264	19.3692	19.9806	0.4785	0.1876	0.1873	3.2462
1077	-6.0137	-10.9842	-0.2461	-0.0888	0.0136	-0.7253	0.6826	19.2882	19.8183	0.4763	0.1853	0.1867	3.2001
1078	-6.0301	-12.0167	-0.1608	-0.0225	-0.0031	-0.7175	0.6962	19.2882	19.8183	0.4763	0.1853	0.1867	3.2001
1079	-6.0027	-12.9736	-0.1401	0.0253	-0.0394	-0.7122	0.7004	19.2882	19.8183	0.4763	0.1853	0.1867	3.2001
1080	-5.9736	-12.9585	0.1173	0.0284	0.0866	0.6970	0.7113	19.2439	19.7058	0.4742	0.1836	0.1851	3.1048
1081	-6.0052	-12.0431	0.2679	0.0407	0.0161	0.7507	0.6592	19.2329	19.6905	0.4714	0.1821	0.1833	3.0824
1082	-5.9920	-10.9992	-0.0319	0.0750	-0.0000	0.7098	0.7004	19.1066	19.5871	0.4664	0.1770	0.1815	2.9626
1083	-5.9150	-10.0438	0.0462	0.0396	0.0394	0.6891	0.7225	18.8361	19.2491	0.4547	0.1739	0.1778	2.9386
1084	-6.0212	-9.0352	-0.0051	-0.0189	-0.0182	0.7332	0.6795	18.8090	19.2235	0.4509	0.1722	0.1763	2.9276
1085	-6.0115	-7.9530	0.3392	-0.0223	-0.0302	0.6708	0.7407	18.6883	19.0706	0.4506	0.1720	0.1748	2.9125
1086	-6.0125	-8.0492	-0.2231	-0.0071	-0.0148	0.9998	0.0132	18.6508	19.0203	0.4479	0.1713	0.1737	2.8617
1087	-6.9554	-7.9913	-0.3427	0.0100	-0.0033	0.9996	0.0279	18.6264	18.9711	0.4479	0.1671	0.1736	2.8168
1088	-8.0141	-8.0191	0.2680	0.0317	-0.0228	-0.9986	0.0359	18.3775	18.6639	0.4467	0.1664	0.1716	2.7357
